Gene	Correlation	Labels	dot	class
ENSG00000140575.13	0.404798011			
ENSG00000137801.11	0.404688453			
ENSG00000005483.21	0.404610512			
ENSG00000138081.21	0.404462959			
ENSG00000052795.13	0.403979454			
ENSG00000134899.23	0.403776381			
ENSG00000012174.12	0.403658704			
ENSG00000107679.14	0.402982005			
ENSG00000110429.14	0.402848215			
ENSG00000170759.11	0.402837052			
ENSG00000138757.15	0.402803335			
ENSG00000169519.21	0.402687429			
ENSG00000079308.19	0.402572124			
ENSG00000157654.19	0.402485863			
ENSG00000051382.9	0.402472843			
ENSG00000065243.20	0.402263472			
ENSG00000164176.13	0.40159318			
ENSG00000138593.9	0.401494282			
ENSG00000152818.18	0.401492725			
ENSG00000085224.23	0.401358648			
ENSG00000069869.16	0.401261228			
ENSG00000144560.15	0.401192828			
ENSG00000010704.18	0.401067083			
ENSG00000185477.5	0.400853416			
ENSG00000164715.6	0.400690285			
ENSG00000138760.10	0.400465268			
ENSG00000163428.4	0.400218229			
ENSG00000213713.3	0.399730729			
ENSG00000145734.19	0.399447807			
ENSG00000108582.12	0.399292582			
ENSG00000083857.14	0.399128359			
ENSG00000116044.16	0.398963828			
ENSG00000152894.15	0.398762498			
ENSG00000280304.1	0.398292932			
ENSG00000113638.14	0.398077734			
ENSG00000198836.11	0.397880973			
ENSG00000144224.17	0.397753517			
ENSG00000172845.17	0.397514948			
ENSG00000109756.9	0.397490829			
ENSG00000227692.1	0.397238345			
ENSG00000107854.6	0.397080428			
ENSG00000036257.13	0.396867581			
ENSG00000179454.14	0.396808697			
ENSG00000114796.16	0.396690841			
ENSG00000217165.1	0.396654649			
ENSG00000138660.12	0.396617897			
ENSG00000186951.16	0.396544875			
ENSG00000143776.18	0.396209794			
ENSG00000166747.13	0.396196552			
ENSG00000126581.13	0.396182856			
ENSG00000163659.13	0.396156937			
ENSG00000135932.11	0.396099247			
ENSG00000134970.14	0.396006936			
ENSG00000100647.8	0.39578896			
ENSG00000134371.14	0.395480216			
ENSG00000164164.17	0.395374259			
ENSG00000137449.17	0.394813206			
ENSG00000151229.13	0.394671615			
ENSG00000135241.17	0.394246995			
ENSG00000112624.12	0.394156425			
ENSG00000100030.15	0.393918005			
ENSG00000164631.19	0.393721196			
ENSG00000115760.14	0.393546069			
ENSG00000144840.10	0.393503556			
ENSG00000153339.15	0.393464745			
ENSG00000136052.9	0.393199438			
ENSG00000089682.16	0.393096264			
ENSG00000164342.13	0.393012166			
ENSG00000136141.15	0.392951106			
ENSG00000058063.16	0.392775618			
ENSG00000124275.15	0.392740272			
ENSG00000196110.8	0.392530846			
ENSG00000111647.13	0.392473276			
ENSG00000008086.13	0.392358301			
ENSG00000174953.14	0.39229736			
ENSG00000009335.18	0.391898941			
ENSG00000160551.12	0.391545682			
ENSG00000156958.15	0.39124454			
ENSG00000083312.17	0.390997896			
ENSG00000118496.5	0.390936603			
ENSG00000102580.15	0.390833591			
ENSG00000182158.15	0.390792596			
ENSG00000164209.17	0.390759502			
ENSG00000253541.1	0.390754231			
ENSG00000099250.18	0.390690531			
ENSG00000082438.17	0.390489892			
ENSG00000125810.10	0.390332141			
ENSG00000130962.18	0.390313527			
ENSG00000132405.19	0.390308276			
ENSG00000281649.2	0.39025369			
ENSG00000165417.12	0.389962538			
ENSG00000145743.17	0.38967552			
ENSG00000104635.15	0.389672062			
ENSG00000155729.13	0.389257706			
ENSG00000151292.17	0.389202101			
ENSG00000123575.9	0.38914377			
ENSG00000184500.16	0.389060124			
ENSG00000287401.1	0.389013933			
ENSG00000185261.14	0.388983762			
ENSG00000166266.14	0.388871962			
ENSG00000139687.16	0.388558286			
ENSG00000253919.1	0.387881645			
ENSG00000150760.13	0.387506661			
ENSG00000163820.15	0.387233325			
ENSG00000054654.19	0.386994389			
ENSG00000092439.16	0.386876217			
ENSG00000166147.14	0.386842335			
ENSG00000069667.16	0.386584093			
ENSG00000181704.12	0.386542847			
ENSG00000188554.15	0.386103756			
ENSG00000162618.15	0.386042754			
ENSG00000175054.16	0.386024931			
ENSG00000114030.13	0.38598109			
ENSG00000130340.16	0.385916412			
ENSG00000144674.16	0.385291274			
ENSG00000138386.17	0.385273296			
ENSG00000170471.15	0.385235693			
ENSG00000132669.13	0.385185387			
ENSG00000077943.8	0.38497713			
ENSG00000236349.1	0.38491762			
ENSG00000144810.16	0.384409828			
ENSG00000107290.14	0.384329797			
ENSG00000164949.8	0.384156007			
ENSG00000162980.17	0.383729278			
ENSG00000145246.14	0.383681794			
ENSG00000132466.19	0.383563685			
ENSG00000165322.18	0.383445911			
ENSG00000186340.16	0.382801202			
ENSG00000196428.12	0.382753007			
ENSG00000138600.10	0.38268776			
ENSG00000065613.15	0.382571094			
ENSG00000115561.16	0.382326848			
ENSG00000232380.1	0.382096828			
ENSG00000101350.8	0.382085824			
ENSG00000172059.11	0.381980031			
ENSG00000005700.15	0.38181157			
ENSG00000113966.10	0.381790988			
ENSG00000150712.11	0.381734816			
ENSG00000132842.14	0.381437803			
ENSG00000116406.19	0.381375985			
ENSG00000110321.19	0.381278194			
ENSG00000263001.7	0.381228557			
ENSG00000135392.18	0.381211017			
ENSG00000115504.15	0.380881556			
ENSG00000036054.13	0.380767451			
ENSG00000070778.13	0.380758504			
ENSG00000144824.21	0.3805756			
ENSG00000154945.7	0.380331441			
ENSG00000138758.12	0.380297508			
ENSG00000106692.15	0.380058412			
ENSG00000113441.16	0.379931251			
ENSG00000001630.17	0.379759048			
ENSG00000280173.1	0.379687757			
ENSG00000004766.17	0.379466046			
ENSG00000102780.17	0.379415149			
ENSG00000144320.14	0.379333026			
ENSG00000134352.20	0.379164754			
ENSG00000111859.17	0.378988195			
ENSG00000102763.18	0.378972075			
ENSG00000138411.13	0.378957753			
ENSG00000165525.18	0.378910248			
ENSG00000058272.19	0.378712516			
ENSG00000116117.18	0.378467614			
ENSG00000104067.17	0.378435317			
ENSG00000066422.5	0.378366245			
ENSG00000118873.16	0.378322012			
ENSG00000075539.15	0.37828955			
ENSG00000178385.15	0.378124463			
ENSG00000161048.11	0.378107868			
ENSG00000127914.18	0.377729887			
ENSG00000155313.15	0.377704111			
ENSG00000151422.13	0.377659493			
ENSG00000172493.22	0.377616761			
ENSG00000180801.14	0.377478574			
ENSG00000164144.16	0.377360351			
ENSG00000135048.14	0.377262919			
ENSG00000188906.16	0.377040248			
ENSG00000119138.4	0.376970841			
ENSG00000075711.21	0.376901057			
ENSG00000123268.9	0.376486499			
ENSG00000265519.1	0.37631877			
ENSG00000133704.10	0.376067661			
ENSG00000121350.16	0.376042961			
ENSG00000186660.15	0.375791171			
ENSG00000197969.14	0.375750458			
ENSG00000165832.6	0.375614241			
ENSG00000173517.10	0.375328597			
ENSG00000117500.13	0.374216961			
ENSG00000232284.7	0.37400064			
ENSG00000137693.14	0.373853666			
ENSG00000114573.10	0.373651148			
ENSG00000115966.17	0.373503744			
ENSG00000230499.1	0.373442122			
ENSG00000225733.6	0.373427579			
ENSG00000120008.16	0.373283179			
ENSG00000116984.14	0.373236585			
ENSG00000214106.9	0.373166165			
ENSG00000153827.14	0.372874765			
ENSG00000163349.22	0.372757437			
ENSG00000115170.15	0.37250575			
ENSG00000138078.16	0.371775019			
ENSG00000175105.8	0.371762184			
ENSG00000223685.6	0.371722544			
ENSG00000109572.14	0.371660914			
ENSG00000114302.16	0.371410896			
ENSG00000198523.6	0.371332317			
ENSG00000143751.10	0.370936133			
ENSG00000165650.12	0.370667002			
ENSG00000140382.15	0.370643866			
ENSG00000281183.1	0.370572948			
ENSG00000219642.2	0.370563098			
ENSG00000166411.14	0.370497377			
ENSG00000128923.11	0.370332436			
ENSG00000160145.15	0.370090727			
ENSG00000170248.15	0.370051245			
ENSG00000129116.19	0.369685756			
ENSG00000169446.5	0.369625122			
ENSG00000077380.16	0.369530031			
ENSG00000174485.16	0.369384635			
ENSG00000178033.6	0.369304771			
ENSG00000097033.14	0.369171756			
ENSG00000172071.14	0.369114734			
ENSG00000177463.15	0.369038937			
ENSG00000105835.12	0.368606131			
ENSG00000143153.13	0.368495736			
ENSG00000236431.1	0.368440055			
ENSG00000008952.17	0.368398781			
ENSG00000117335.20	0.368383647			
ENSG00000164307.13	0.368256622			
ENSG00000172292.15	0.368181289			
